Emoji,Count,Neg Emoji,Neg Count,Pos Emoji,Pos Count
:green_heart:,6,,0,:smiling_face_with_heart-eyes:,6
:tiger:,1,,,:star-struck:,1
:smiling_face_with_heart-eyes:,6,,,:smiling_face_with_hearts:,31
:star-struck:,1,,,:winking_face:,3
:smiling_face_with_hearts:,31,,,:face_savoring_food:,4
:partying_face:,1,,,:grinning_face_with_smiling_eyes:,1
:backhand_index_pointing_down:,5,,,:smiling_face:',2
:sparkling_heart:,22,,,:face_with_tears_of_joy:,7
:sparkles:,33,,,,
:winking_face:,3,,,,
:raising_hands:,5,,,,
:cherry_blossom:,5,,,,
:tulip:,1,,,,
:glowing_star:,11,,,,
:strawberry:,1,,,,
:face_savoring_food:,4,,,,
:red_heart:,7,,,,
:paintbrush:,2,,,,
:grinning_face_with_smiling_eyes:,1,,,,
:camera_with_flash:,15,,,,
:link:,6,,,,
:mango:,1,,,,
:paw_prints:,1,,,,
:Pisces:,1,,,,
:dizzy:,5,,,,
:two_hearts:,1,,,,
:revolving_hearts:,1,,,,
:smiling_face:,2,,,,
:face_with_tears_of_joy:,7,,,,
:cherries:,1,,,,
:growing_heart:,8,,,,
:heart_with_ribbon:,1,,,,
:rose:,1,,,,
:love_letter:,4,,,,
:black_small_square:,5,,,,
:woman_getting_massage:,2,,,,
:hot_beverage:,1,,,,
:puzzle_piece:,2,,,,
:waving_hand:,1,,,,
:blue_heart:,2,,,,
:lemon:,3,,,,
:P_button:,1,,,,
:orange_heart:,1,,,,
:ice:,1,,,,
:writing_hand:,1,,,,
:selfie:,1,,,,
:snowflake:,1,,,,
,,,,,
Total,223,,0,,55